HISTORICAL MAINE SEA URCHIN LANDINGS,,,,,,,
YEAR,SPECIES,METRIC TONS,POUNDS,POUNDS(millions),VALUE,VALUE(millions),PRICE/LB
1964,,54.84301149,"120,908",0.121,"$3,377",$0.00,$0.03
1965,SEA URCHIN,57.17402546,"126,047",0.126,"$2,987",$0.00,$0.02
1966,SEA URCHIN,64.86151808,"142,995",0.143,"$4,193",$0.00,$0.03
1967,SEA URCHIN,50.15150003,"110,565",0.111,"$2,908",$0.00,$0.03
1968,SEA URCHIN,37.51213361,"82,700",0.083,"$3,180",$0.00,$0.04
1969,SEA URCHIN,36.72832506,"80,972",0.081,"$5,700",$0.01,$0.07
1970,SEA URCHIN,27.30629315,"60,200",0.06,"$3,512",$0.00,$0.06
1971,SEA URCHIN,23.63445855,"52,105",0.052,"$4,225",$0.00,$0.08
1972,SEA URCHIN,22.50274424,"49,610",0.05,"$3,837",$0.00,$0.08
1973,SEA URCHIN,58.24042239,"128,398",0.128,"$9,078",$0.01,$0.07
1974,SEA URCHIN,21.19412869,"46,725",0.047,"$3,365",$0.00,$0.07
1975,SEA URCHIN,19.03865519,"41,973",0.042,"$2,752",$0.00,$0.07
1976,SEA URCHIN,16.37198247,"36,094",0.036,"$2,234",$0.00,$0.06
1977,SEA URCHIN,26.03714019,"57,402",0.057,"$7,328",$0.01,$0.13
1978,SEA URCHIN,3.61694986,"7,974",0.008,$859,$0.00,$0.11
1979,SEA URCHIN,1.364407472,"3,008",0.003,$306,$0.00,$0.10
1980,SEA URCHIN,15.10464388,"33,300",0.033,"$2,391",$0.00,$0.07
1981,SEA URCHIN,1.658335677,"3,656",0.004,$420,$0.00,$0.11
1982,SEA URCHIN,,,0,,,
1983,SEA URCHIN,,,0,,,
1984,SEA URCHIN,23.03798387,"50,790",0.051,"$4,056",$0.00,$0.08
1985,SEA URCHIN,,,0,,,
1986,SEA URCHIN,,,0,,,
1987,SEA URCHIN,653.246818,"1,440,161",1.44,"$236,391",$0.24,$0.16
1988,SEA URCHIN,2822.07546,"6,221,604",6.222,"$1,758,805",$1.76,$0.28
1989,SEA URCHIN,4275.533198,"9,425,926",9.426,"$3,608,475",$3.61,$0.38
1990,SEA URCHIN,6104.753654,"13,458,662",13.459,"$6,045,618",$6.05,$0.45
1991,SEA URCHIN,9314.716822,"20,535,411",20.535,"$11,158,425",$11.16,$0.54
1992,SEA URCHIN,11991.92514,"26,437,638",26.438,"$15,148,449",$15.15,$0.57
1993,SEA URCHIN,18880.99037,"41,625,409",41.625,"$26,816,313",$26.82,$0.64
1994,SEA URCHIN,17371.07166,"38,296,612",38.297,"$33,083,336",$33.08,$0.86
1995,SEA URCHIN,15543.99035,"34,268,592",34.269,"$35,604,275",$35.60,$1.04
1996,SEA URCHIN,11676.84726,"25,743,011",25.743,"$28,778,169",$28.78,$1.12
1997,SEA URCHIN,8840.078109,"19,489,013",19.489,"$21,256,800",$21.26,$1.09
1998,SEA URCHIN,6828.327784,"15,053,868",15.054,"$17,072,498",$17.07,$1.13
1999,SEA URCHIN,7001.336285,"15,435,286",15.435,"$20,300,142",$20.30,$1.32
2000,SEA URCHIN,5850.394626,"12,897,897",12.898,"$17,739,333",$17.74,$1.38
2001,SEA URCHIN,4557.791365,"10,048,198",10.048,"$12,969,562",$12.97,$1.29
2002,SEA URCHIN,2867.266014,"6,321,232",6.321,"$7,657,398",$7.66,$1.21
2003,SEA URCHIN,"2,704.62","5,962,668",5.963,"$8,569,109",$8.57,$1.44
2004,SEA URCHIN,"2,604.51","5,741,945",5.742,"$7,865,930",$7.87,$1.37
2005,SEA URCHIN,"1,595.31","3,517,048",3.517,"$5,142,213",$5.14,$1.46
2006,SEA URCHIN,"1,529.41","3,371,761",3.372,"$4,741,065",$4.74,$1.41
2007,SEA URCHIN,"1,254.54","2,765,778",2.766,"$4,377,512",$4.38,$1.58
2008,SEA URCHIN,"1,387.14","3,058,114",3.058,"$5,645,829",$5.65,$1.85
2009,SEA URCHIN,"1,581.56","3,486,741",3.487,"$5,866,376",$5.87,$1.68
2010,SEA URCHIN,"1,175.49","2,591,516",2.592,"$5,489,826",$5.49,$2.12
2011,SEA URCHIN,"1,091.83","2,407,074",2.407,"$5,113,355",$5.11,$2.12
2012,SEA URCHIN,863.61,"1,903,922",1.904,"$5,024,329",$5.02,$2.64
2013,SEA URCHIN,901.71,"1,987,929",1.988,"$5,781,216",$5.78,$2.91
2014,SEA URCHIN,888.27,"1,958,303",1.958,"$5,281,916",$5.28,$2.70
2015,SEA URCHIN,884.76,"1,950,569",1.951,"$5,386,788",$5.39,$2.76
2016,SEA URCHIN,933.64,"2,058,313",2.058,"$6,619,335",$6.62,$3.22
2017,SEA URCHIN,885.62,"1,952,462",1.952,"$6,104,971",$6.10,$3.13
2018,SEA URCHIN,926.84,"2,043,325",2.043,"$6,206,944",$6.21,$3.04
2019,SEA URCHIN,774.18,"1,706,781",1.707,"$5,835,917",$5.84,$3.42
