year,total_abundance
1948,31400000
1949,31000000
1950,31900000
1951,34500000
1952,29500000
1953,28000000
1954,24800000
1955,27500000
1956,24200000
1957,23900000
1958,27100000
1959,30500000
1960,30200000
1961,37800000
1962,46600000
1963,43800000
1964,45000000
1965,51200000
1966,61000000
1967,51800000
1968,40800000
1969,31700000
1970,26100000
1971,29100000
1972,31200000
1973,28700000
1974,29300000
1975,28400000
1976,31500000
1977,36600000
1978,38800000
1979,34400000
1980,41800000
1981,41500000
1982,37500000
1983,36000000
1984,28600000
1985,23500000
1986,23200000
1987,18300000
1988,27200000
1989,27000000
1990,32500000
1991,24300000
1992,19300000
1993,16100000
1994,14000000
1995,26300000
1996,28600000
1997,22800000
1998,16700000
1999,15200000
2000,12900000
2001,13800000
2002,11900000
2003,9230000
2004,12300000
2005,8450000
2006,9680000
2007,7770000
2008,5170000
