"","BSBASSMATLC"
"1968",7620
"1969",7600
"1970",7200
"1971",7190
"1972",8780
"1973",10900
"1974",12400
"1975",14100
"1976",14400
"1977",16400
"1978",16800
"1979",16200
"1980",15200
"1981",14300
"1982",13500
"1983",12000
"1984",9590
"1985",9460
"1986",10100
"1987",9070
"1988",8900
"1989",8290
"1990",8060
"1991",8230
"1992",8680
"1993",9300
"1994",7830
"1995",8090
"1996",7380
"1997",7110
"1998",6830
"1999",7620
"2000",9240
"2001",12400
"2002",15700
"2003",17100
"2004",17400
"2005",16700
"2006",15500
"2007",14100
"2008",13300
"2009",13200
"2010",13200
"2011",12700
