"";"year";"urchin.landings..mt."
"1";1986;87,71929825
"2";1987;1315,789474
"3";1988;2982,45614
"4";1989;4912,280702
"5";1990;6578,947368
"6";1991;10087,7193
"7";1992;14035,08772
"8";1993;18333,33333
"9";1994;17017,54386
"10";1995;14385,96491
"11";1996;10964,91228
"12";1997;8245,614035
"13";1998;6842,105263
"14";1999;6666,666667
"15";2000;5438,596491
"16";2001;4035,087719
"17";2002;2894,736842
"18";2003;2631,578947
"19";2004;2456,140351
"20";2005;1666,666667
"21";2006;1491,22807
"22";2007;1315,789474
"23";2008;1578,947368
"24";2009;1315,789474
