Year,Herring_Gull,Great_BlackBacked_Gull,Total,Notes
1998,362,138,500,NA
1999,384,152,536,
2000,348,152,500,
2001,352,155,507,
2002,406,148,554,
2003,440,135,575,
2004,NA,NA,NA,
2005,150,51,201,
2006,NA,NA,NA,
2007,181,102,283,*Using correction factor
2008,207,123,330,*Using correction factor
2009,182,98,280,*Using correction factor
2010,215,104,319,* Using chalk to mark nests
2011,187,68,255,* Using chalk to mark nests
2012,193,89,282,* Using chalk to mark nests
2013,179,82,261,* Using chalk to mark nests
2014,177,82,259,* Using chalk to mark nests
2015,193,92,285,* Using chalk to mark nests
2016,180,94,274,* Using chalk to mark nests
2017,104,75,179,* Using chalk to mark nests
2018,145,72,217,* Using chalk to mark nests
2019,129,65,194,* Using chalk to mark nests
