Year,sst_yr,sst_se_yr,sst_anom_yr,sst_summer,sst_se_summer,sst_anom_summer,sst_winter,sst_se_winter,sst_anom_winter,atmp_yr,atmp_summer,atmp_winter,prcp_sum,snow_sum,wave_height,nao_summer,nao_winter,nao_yr,ph_global,ph_error,chlorophyll,coldsnap,heatwave
1982,9.937504683,0.302605782,0.267602658,14.84344328,0.312355909,-0.557512895,4.716044483,0.295067585,0.61218125,NA,NA,NA,103.7336,204.724,NA,0.385,0.3475,0.43,NA,NA,NA,-34.3116,2.1735
1983,10.3285995,0.316949419,0.658726999,15.59041855,0.325362361,0.189377953,6.112638743,0.301490203,1.250900904,NA,NA,NA,181.0004,108.458,NA,0.6675,0.9475,0.31,NA,NA,NA,-5.579,5.7835
1984,10.04300644,0.330340392,0.374012323,15.47343093,0.318923114,0.072355376,5.271176222,0.311684089,0.412125688,NA,NA,NA,136.0424,170.688,NA,0.2075,0.575,0.2475,NA,NA,NA,-20.0231,2.3768
1985,9.8792132,0.266088565,0.210495503,14.81670889,0.256043544,-0.584401603,6.007101284,0.28913882,1.14906392,8.301335591,17.02282355,-0.076839444,102.0318,87.376,NA,-0.145,-0.475,-0.183333333,8.109,0.00081699,NA,-21.1844,0.8368
1986,9.484575755,0.261246633,-0.185321416,14.62017742,0.254148387,-0.780965591,4.926563333,0.260824308,0.065004031,8.274236177,16.32216882,-0.445927736,128.651,93.726,NA,-0.2175,0.51,0.503333333,8.108,0.000789079,NA,-16.4883,
1987,9.561142154,0.267164158,-0.108787737,15.50139731,0.281991398,0.100043011,5.136010364,0.250919355,0.274422811,8.497896353,17.41069594,-0.160191361,118.364,166.116,NA,-0.8375,-0.1875,-0.1225,8.107,0.000708053,NA,-14.0323,
1988,9.571934791,0.249639278,-0.096974787,15.28167419,0.258193011,-0.119455376,4.81932703,0.241922136,-0.039859844,8.693696795,18.10233393,0.127435022,114.9858,140.208,NA,-0.105,0.4825,-0.013333333,8.104,0.000893326,NA,-13.5728,1.6831
1989,9.738082123,0.255949578,0.067979775,15.84945753,0.250966129,0.448024194,4.836978111,0.271222926,-0.024813364,7.987664288,17.52622713,-0.227539623,116.586,81.788,NA,0.69,1.4075,0.701666667,8.103,0.000668776,NA,-36.3915,0.8
1990,9.75506715,0.263564555,0.085285855,16.02111774,0.267015054,0.620287097,4.381328917,0.248348502,-0.48031394,9.48536329,17.80099935,-0.826426147,135.4328,133.858,NA,0.635,0.69,0.594166667,8.102,0.000823911,NA,-4.7508,
1991,10.14062851,0.260482843,0.47071963,15.97538845,0.258249458,0.574201606,5.081266656,0.261921656,0.219722346,9.690654854,18.31090311,1.438755167,134.239,66.04,NA,0.1,0.48,0.268333333,8.101,0.000728206,NA,-6.1082,9.7972
1992,9.204884516,0.270940207,-0.463980254,14.60163411,0.276457522,-0.799394074,5.203557759,0.269586759,0.344615123,8.019453922,16.79667385,-0.147413004,99.695,82.296,NA,0.1925,0.5675,0.580833333,8.101,0.000654949,NA,-45.7299,
1993,9.314886322,0.264577965,-0.354955729,15.14967666,0.251740856,-0.251448921,4.736439442,0.290057023,-0.125266126,8.254403426,17.58845783,-1.196008499,109.1946,274.574,NA,-1.055,0.81,0.179166667,8.1,0.000715966,NA,-41.0595,
1994,9.563893795,0.259595566,-0.1058841,15.53510458,0.246798383,0.134390858,4.004228053,0.277002299,-0.857389388,8.550084617,17.83213462,-1.91104594,118.0846,186.69,NA,0.4725,1.08,0.575833333,8.098,0.000689711,NA,-43.8992,
1995,9.763396695,0.38373864,0.09336582,15.74657827,0.354962898,0.345277414,5.305414662,0.4026826,0.443574878,8.719637253,18.17044844,0.661297541,111.4298,77.724,NA,0.2275,1.335,-0.080833333,8.096,0.000765317,NA,-12.7454,
1996,9.604327387,0.265242363,-0.064648955,15.55092928,0.265662898,0.149870427,4.289206834,0.28082925,-0.569938255,8.290001134,17.14916593,-1.352996497,154.8892,279.654,NA,0.3475,-0.525,-0.214166667,8.094,0.000658288,NA,-42.284,4.0588
1997,9.882685777,0.250798268,0.212887068,15.62353149,0.253561823,0.222525804,5.375665241,0.263454489,0.514047227,8.483508513,17.51107806,0.66433238,110.6678,147.574,NA,0.0775,0.315,-0.156666667,8.094,0.000613007,NA,,
1998,9.757062907,0.269643902,0.087056835,15.63386428,0.265538705,0.2326086,4.968604186,0.268822576,0.106597926,9.519251793,17.349851,1.553393869,135.382,99.06,NA,-1.305,0.0475,-0.480833333,8.091,0.000743927,NA,-6.5347,
1999,10.28687385,0.256944863,0.617027512,16.70917555,0.263462899,1.308213961,4.558145661,0.272793198,-0.303447,9.631972585,18.64499469,1.214673329,113.792,111.76,NA,0.2425,0.54,0.390833333,8.088,0.000734212,NA,-4.4261,10.4452
2000,10.15185626,0.26222802,0.482999478,15.76237236,0.252087092,0.361248379,5.303965438,0.251506114,0.445147381,8.704346788,17.42996689,0.818293776,135.5344,78.486,NA,-0.39,1.17,0.206666667,8.087,0.000618534,NA,,
2001,10.2466625,0.257860736,0.576729124,16.15160243,0.265389781,0.750539236,5.529755673,0.258765548,0.668044918,9.675523888,18.2785304,-0.348226652,100.6856,233.68,NA,-0.2925,-0.285,-0.1825,8.086,0.000618557,NA,,3.1067
2002,10.56099339,0.246180922,0.891124114,16.17279599,0.251084404,0.771589231,6.057870891,0.243641701,1.196279358,9.533181679,18.17275261,2.65902463,115.8748,105.664,0.987099874,0.17,0.35,0.039166667,8.084,0.000628333,NA,,5.5617
2003,9.56922882,0.233258803,-0.10058936,15.74425999,0.240555372,0.343165587,5.057255114,0.22454147,0.195551264,8.060051403,17.83025148,-1.712080281,120.1166,250.698,1.014625661,0,0.04,0.0975,8.082,0.000732485,NA,-22.662,
2004,9.499825155,0.219372836,-0.169293311,15.33170406,0.21642634,-0.069583331,4.450407048,0.218023355,-0.408656279,8.193030681,17.0553825,-1.050335914,117.1702,96.266,0.970888898,0.035,0.3075,0.2425,8.081,0.000710167,NA,-7.2432,
2005,9.832239571,0.218288168,0.163601316,16.15037935,0.219317201,0.749634936,4.425521816,0.21859677,-0.432634209,8.697779305,18.4458541,-0.600012745,150.9268,262.636,1.068043951,0.11,0.21,-0.2675,8.079,0.00071636,NA,-25.5829,
2006,10.54276938,0.221505974,0.874132128,16.68405351,0.226752146,1.283173632,5.35357365,0.217752876,0.495317388,9.774077796,18.19369108,0.688980112,189.5856,145.542,1.009905749,-0.4025,-0.24,-0.2075,8.077,0.000740666,NA,,29.8595
2007,10.44384014,0.230394913,0.775184676,16.04231481,0.234073114,0.641206978,6.324773509,0.2211826,1.466488454,8.726839518,17.87624559,0.415843129,131.9276,137.16,0.952075054,-0.3275,0.6325,0.173333333,8.075,0.000683862,NA,-0.4491,12.9877
2008,10.29313966,0.224983317,0.624196887,16.75197987,0.230587092,1.350637073,4.370794702,0.224015012,-0.488295319,9.180892772,18.08867924,0.111784495,172.2374,237.744,1.058661781,-0.7,0.51,-0.378333333,8.074,0.000689732,NA,-8.3247,21.3132
2009,10.21456885,0.222854579,0.545933504,16.38811963,0.229161824,0.987045684,4.655259148,0.218230411,-0.202556449,8.789966955,17.27190106,-0.312838834,142.8242,264.414,1.053676479,-0.51,0.085,-0.243333333,8.073,0.000627885,NA,-3.485,13.3635
2010,11.09372267,0.225078478,1.425143131,17.54771321,0.22803548,2.14678653,5.626318458,0.220822001,0.768409551,10.17712983,19.17247512,1.159399808,160.1724,113.538,1.074643222,-0.8125,-1.475,-1.1525,8.071,0.000759265,5.222770833,,77.5369
2011,10.99219298,0.223576916,1.323638726,17.1055589,0.227448383,1.70469621,5.447288506,0.222913015,0.589340426,9.626181025,18.48660623,-0.427247744,150.2664,213.106,1.028567984,-0.9,-0.355,0.293333333,8.069,0.000824223,9.842927778,,25.3381
2012,11.96235453,0.22124022,2.293327608,17.93337502,0.223693007,2.532148887,6.922474861,0.214491098,2.063342571,10.42418149,18.56536002,2.971121738,116.3066,71.12,1.003547109,-1.355,1.345,-0.455833333,8.067,0.000737861,8.660222222,,216.4682
2013,11.07378336,0.226292136,1.403856443,16.83990191,0.228527415,1.438912343,6.726549995,0.23213018,1.864726357,9.326582494,18.6765794,1.059330649,114.173,191.516,0.990723096,0.6,-0.385,0.21,8.065,0.000752955,6.304194444,,39.8528
2014,10.46734895,0.221046732,0.798697398,16.65201483,0.215088706,1.250970405,4.778008572,0.223804719,-0.07999539,8.867608537,18.19589718,-1.368845537,130.9878,198.628,1.0458818,-0.2125,0.845,0.186666667,8.064,0.000703221,7.105570833,-1.8235,3.3954
2015,10.63300419,0.226068058,0.964370758,16.9756707,0.227529028,1.574646749,5.280608202,0.230482138,0.422910704,9.205483826,18.63591398,-1.917175656,117.8306,294.386,1.00061507,-1.165,1.605,0.433333333,8.062,0.000717608,6.619331944,-3.7235,37.4777
2016,11.38619431,0.220798877,1.717251159,17.49960083,0.222204297,2.098491366,6.465715136,0.221334812,1.606816436,10.08042103,19.20775206,2.796419935,104.2416,113.03,1.045679475,-0.8075,1.1675,-0.038333333,8.06,0.000765008,7.476711111,,57.0745
2017,10.82191881,0.22580431,1.152016046,16.37178902,0.227528491,0.97093063,6.377217046,0.220839282,1.515400317,9.713880355,18.57438474,1.183307714,124.9426,196.596,1.091835083,-0.1,0.675,0.225833333,8.058,0.000790167,9.298941667,,32.7244
2018,11.08895158,0.228199036,1.420274045,18.06682878,0.229362362,2.665779533,5.406014892,0.229101954,0.547921651,8.38,18.48566906,0.026590491,148.6916,176.022,1.03764974,1.53,0.7425,1.083333333,8.057,0.000740047,4.434983333,,67.6564
2019,10.6436,0.2233,0.97497,17.25344,0.22064,1.85228,5.097408,0.86833,0.23933,8.968524,17.49606,0.048855,130.1242,146.517,,-0.9616,0.6818,-0.3184,,,7.198556,,25.4285
